,player_number,name,age,position,tall,weight,games,start_games,sub_games,mins,goals,assists,yellow_cards,red_cards,shots_per_game,pass_success_percentage,aerials_won,man_of_the_match,rating
0,134902,Jordan Amavi,28," D(L),M(L)",176,70,36,36,0.0,3233,4,0,11,0,0.5,74.6,3.1,8,7.74
1,137021,Saïd Benrahma,27, AM(CLR),172,67,3,3,0.0,200,1,2,0,0,1.7,75.0,0.3,0,7.46
2,260809,Olivier Boscagli,24," D(CL),DMC",181,68,2,2,0.0,174,0,0,0,0,0.0,67.4,1.5,0,7.35
3,6476,Mathieu Bodmer,39," D(C),M(C)",190,90,21(1),21,1.0,1852,2,0,5,0,0.4,81.0,3.5,2,7.3
4,34218,Romain Genevois,34, D(CR),182,79,34,34,0.0,2941,1,1,3,0,0.3,76.8,2.8,2,7.29
5,4172,Souleymane Diawara,43, D(C),187,88,12(2),12,2.0,1070,0,0,4,1,0.4,77.2,3.6,2,7.09
6,98100,Lloyd Palun,33, D(R),184,73,19(2),19,2.0,1636,1,1,5,1,0.2,79.5,1.3,2,7.05
7,42248,Jérémy Pied,33," D(LR),M(CLR)",174,69,2,2,0.0,157,0,1,0,0,1.0,83.0,0.5,0,7.0
8,121496,Carlos Eduardo,32, M(C),177,68,29(1),29,1.0,2332,10,4,2,1,2.6,78.7,1.7,2,6.91
9,90106,Éric Bauthéac,35, AM(LR),168,65,29(6),29,6.0,2585,8,5,11,0,1.7,72.6,1.4,2,6.89
10,23619,Simon Pouplin,37, GK,187,78,8,8,0.0,691,0,0,1,0,0.0,30.6,0.1,0,6.82
11,108585,Alassane Plea,29," AM(CLR),FW",181,79,27(6),27,6.0,2457,3,6,7,0,1.8,75.0,1.0,1,6.76
12,67929,Kevin Gomis,33, D(C),187,85,11(5),11,5.0,1194,0,0,3,1,0.1,80.2,1.8,0,6.7
13,93721,Valentin Eysseric,30," AM(CLR),FW",181,73,24(12),24,12.0,2304,2,4,5,0,1.6,76.2,0.7,0,6.7
14,90278,Nampalys Mendy,30, M(C),167,73,36,36,0.0,3240,0,0,5,0,0.3,84.2,0.4,0,6.7
15,11896,Didier Digard,36, M(C),183,76,9(5),9,5.0,851,1,1,1,0,0.9,77.6,1.4,0,6.59
16,74328,Niklas Hult,32," D(L),M(CL)",173,63,20(10),20,10.0,1914,1,0,4,0,0.6,81.2,0.6,0,6.56
17,95424,Grégoire Puel,30," D(R),M(R)",180,71,26(1),26,1.0,2153,1,1,3,1,0.5,75.6,0.7,0,6.55
18,120523,Albert Rafetraniaina,26, DMC,176,66,12(9),12,9.0,979,0,0,3,0,0.3,81.5,0.3,0,6.49
19,116615,Mouez Hassen,27, GK,186,70,30,30,0.0,2700,0,0,2,0,0.0,49.4,0.4,0,6.46
20,14838,Darío Cvitanich,38," AM(C),FW",174,72,5(4),5,4.0,483,3,0,0,0,1.2,83.6,0.1,1,6.35
21,109812,Alexy Bosetti,29," AM(R),FW",170,66,13(14),13,14.0,1225,5,1,3,0,1.1,69.6,0.2,0,6.29
22,238921,Vincent Koziello,26, M(C),168,58,3(4),3,4.0,283,0,0,3,0,0.0,86.8,0.1,0,6.28
23,34918,Joris Delle,32, GK,190,85,0(1),0,1.0,29,0,0,0,0,0.0,71.4,0.0,0,6.22
24,121997,Julien Vercauteren,29, Forward,171,66,3(6),3,6.0,247,0,2,1,0,0.8,77.2,0.0,0,6.21
25,137837,Franck Honorat,26," M(LR),FW",180,70,1(4),1,4.0,110,0,0,2,0,0.4,69.2,0.0,0,6.04
26,123254,Bryan Constant,28, Midfielder,183,76,0(2),0,2.0,19,0,0,0,0,0.5,85.7,0.0,0,6.03
27,119822,Neal Maupay,26," AM(C),FW",173,69,3(10),3,10.0,353,1,0,1,1,0.3,72.6,0.1,0,6.02
28,146712,Paulin Puel,25, Midfielder,179,73,0(1),0,1.0,1,0,0,0,0,0.0,100.0,0.0,0,6.0
29,259809,Sada Thioub,27, M(LR),179,75,0(2),0,2.0,34,0,0,0,0,0.0,63.6,0.0,0,5.99
