,Unnamed: 0,player_number,name,age,position,tall,weight,games,mins,goals,assists,yel,red,spg,ps,aw,motm,rating,start_games,sub_games
0,0,22701,Fredy Guarín,36, M(CR),183,77,25(3),2210,6,6,5,0,2.8,77.6,1.3,4,7.56,25,3
1,1,17108,Hernanes,37, M(C),180,78,17(9),1628,5,4,6,0,2.5,83.5,1,4,7.26,17,9
2,2,44642,Davide Santon,31, D(LR),187,77,7(2),715,0,0,0,0,0.9,90.6,1.9,0,7.25,7,2
3,3,19676,Juan Carrizo,38, GK,187,87,1,90,0,0,0,0,0,80.0,1,0,7.18,1,0
4,4,93894,Mateo Kovacic,28, M(CL),178,78,26(9),2463,5,3,3,1,1.2,87.5,0.3,1,7.15,26,9
5,5,27421,Andrea Ranocchia,34, D(C),195,81,32(1),2850,2,0,9,0,0.7,85.5,2.4,1,7.15,32,1
6,6,84603,Juan Jesus,31, D(CL),185,83,32,2849,0,0,14,0,0.3,86.0,1.7,1,7.12,32,0
7,7,29390,Gary Medel,35," D(C),DMC",171,65,34(1),2992,0,2,10,1,0.7,91.8,1.3,0,7.11,34,1
8,8,9685,Nemanja Vidic,40, D(C),189,84,23,2050,1,0,6,1,0.7,88.4,3.1,4,7.11,23,0
9,9,106964,Mauro Icardi,29, FW,181,75,33(3),2900,22,6,4,0,3.4,75.4,1.6,3,7.08,33,3
10,10,28485,Jonathan,36," D(R),M(R)",170,72,2,174,0,0,0,0,0.5,76.9,1,0,7.01,2,0
11,11,14871,Rodrigo Palacio,40," AM(CLR),FW",180,75,30(5),2636,8,5,3,0,1.7,82.6,1.6,2,7.0,30,5
12,12,5070,Hugo Campagnaro,42, D(CR),181,85,8(2),729,0,0,3,0,0.1,80.5,1.6,0,6.89,8,2
13,13,87449,Marcelo Brozovic,29, M(CR),181,68,13(2),1058,1,1,7,0,2,86.4,0.4,0,6.85,13,2
14,14,76953,Dodô,30," D(L),M(L)",181,79,16(4),1377,0,2,3,0,0.5,80.5,1,0,6.84,16,4
15,15,64271,Danilo D'Ambrosio,34," D(CLR),M(LR)",180,75,19(4),1687,0,2,8,0,0.6,79.1,1,2,6.81,19,4
16,16,78892,Marco Andreolli,36, D(C),187,81,5(1),449,0,0,0,0,0.2,89.5,1,0,6.81,5,1
17,17,18963,Zdravko Kuzmanovic,34, M(C),186,80,10(4),859,0,1,0,0,1,91.3,1.4,1,6.77,10,4
18,18,9972,Samir Handanovic,38, GK,193,92,37,3330,0,0,2,0,0,69.5,0.1,1,6.75,37,0
19,19,9973,Felipe,38, D(CL),188,75,3(1),189,0,0,1,0,0,93.8,2,0,6.71,3,1
20,20,20766,Daniel Osvaldo,36," AM(C),FW",182,81,5(7),573,5,2,1,0,1.7,75.2,0.5,1,6.7,5,7
21,21,76304,Xherdan Shaqiri,30, M(CLR),169,72,8(7),746,1,2,3,0,1.3,82.9,0.1,0,6.69,8,7
22,22,37188,Yuto Nagatomo,36," D(LR),M(LR)",170,68,11(3),892,0,0,1,1,0.6,84.6,0.7,0,6.6,11,3
23,23,6040,Lukas Podolski,37," AM(CLR),FW",182,80,8(9),831,1,1,2,0,1.6,87.3,0.5,0,6.52,8,9
24,24,121968,Isaac Donkor,27, Defender,180,71,1(1),114,0,0,0,1,0.5,81.8,1,0,6.49,1,1
25,25,67432,Joel Obi,31, M(CR),176,71,6(5),490,1,0,1,0,1,86.2,0.5,0,6.48,6,5
26,26,118142,Ibrahima Mbaye,27," D(LR),M(LR)",187,70,0(4),94,0,0,0,0,1,92.3,0,0,6.19,0,4
27,27,33886,Yann M'Vila,32, M(C),182,80,3(5),247,0,0,1,0,0.4,86.8,0,0,6.18,3,5
28,28,248154,Gaston Camara,26, Midfielder,177,69,0(2),4,0,0,0,0,0,66.7,0,0,6.17,0,2
29,29,249865,Assane Gnoukouri,25, M(C),180,77,2(3),165,0,0,1,0,0,85.7,0,0,6.15,2,3
30,30,149543,Federico Bonazzoli,25," AM(C),FW",182,79,0(4),45,0,0,1,0,0,80.0,0.8,0,6.12,0,4
31,31,73948,Rene Krhin,32, DMC,189,80,0(3),30,0,0,0,0,0,61.1,0.7,0,6.07,0,3
32,32,137840,George Puscas,26, FW,188,77,1(3),67,0,0,0,0,0.5,81.8,0,0,6.06,1,3
33,33,255929,Federico Dimarco,24," D(CL),M(L)",175,75,0(1),1,0,0,0,0,0,33.3,0,0,6.0,0,1
