,Unnamed: 0,player_number,name,age,position,tall,weight,games,mins,goals,assists,yel,red,spg,ps,aw,motm,rating,start_games,sub_games
0,0,5734,Mauricio Pinilla,38, FW,185,75,12(2),1031,6,2,6,1,2.8,61.0,4.3,2,7.11,12,2
1,1,14126,Luca Cigarini,36, M(C),175,72,30(3),2684,0,3,10,1,1.3,80.6,0.7,2,7.08,30,3
2,2,9937,Giuseppe Biava,45, D(C),180,73,18,1542,2,0,4,1,0.4,80.3,0.8,1,7.06,18,0
3,3,22486,Boukary Dramé,37," D(L),M(L)",180,78,27(2),2421,0,3,7,0,0.7,77.1,1.4,1,7.0,27,2
4,4,40384,Giacomo Bonaventura,33, M(CLR),180,75,1,90,0,0,0,0,2,79.2,0,0,6.99,1,0
5,5,14137,Guglielmo Stendardo,41, D(C),190,89,23(1),2092,2,0,5,0,0.5,76.9,2.3,1,6.94,23,1
6,6,22546,Papu Gómez,34," M(CL),FW",167,68,18(6),1503,3,2,0,1,1.7,76.8,0.3,2,6.92,18,6
7,7,95504,Marco Sportiello,30, GK,192,87,37,3330,0,0,4,0,0,50.2,0.1,5,6.84,37,0
8,8,20596,Maximiliano Moralez,35," M(CLR),FW",160,52,26(4),2248,5,4,3,0,1.8,80.1,0.1,1,6.81,26,4
9,9,29574,Yohan Benalouane,35, D(CR),185,86,25(2),2189,1,0,12,1,0.6,76.5,1.9,1,6.78,25,2
10,10,10930,Giulio Migliaccio,41, DMC,182,72,12(8),1156,1,0,8,0,0.5,62.4,4.5,0,6.76,12,8
11,11,17491,Urby Emanuelson,36," D(L),M(CLR)",176,68,4(5),447,0,2,0,0,0.8,82.8,0.2,0,6.71,4,5
12,12,6638,Gianpaolo Bellini,42, D(LR),178,75,15,1280,0,0,2,1,0.3,74.2,1.1,0,6.69,15,0
13,13,83716,Daniele Baselli,30, M(C),182,70,15(7),1284,2,2,6,0,1.1,80.9,0.5,1,6.68,15,7
14,14,9943,Cristian Raimondi,41," D(R),M(R)",182,78,4(2),318,0,2,1,0,0.3,50.0,1.5,0,6.68,4,2
15,15,141312,Davide Zappacosta,30," D(LR),M(LR)",185,70,27(2),2260,3,1,4,0,0.9,78.1,0.6,0,6.67,27,2
16,16,109085,Salvatore Molina,30," DMC,M(LR)",177,74,2(2),176,0,0,1,0,0.5,73.6,0.8,1,6.65,2,2
17,17,52467,Giorgio Frezzolini,46, Goalkeeper,187,81,0(1),33,0,0,0,0,0,38.9,2,0,6.62,0,1
18,18,24175,Carlos Carmona,35, DMC,179,68,32(1),2809,0,0,12,1,0.6,84.5,0.9,0,6.62,32,1
19,19,14484,Germán Denis,41, FW,182,87,27(5),2319,8,0,4,0,1.7,71.1,2.2,1,6.6,27,5
20,20,14069,Cristiano Del Grosso,39," D(L),M(L)",175,70,9(4),723,0,1,0,0,0.2,81.2,0.4,0,6.55,9,4
21,21,14157,Andrea Masiello,36, D(CR),185,75,12(2),1105,0,0,3,0,0.1,79.2,1,0,6.51,12,2
22,22,79498,Marco D'Alessandro,31, M(LR),173,71,9(16),977,0,1,6,0,0.4,75.4,0.2,0,6.36,9,16
23,23,30585,Nicolò Cherubin,35, D(CL),188,83,10(3),1010,0,0,0,0,0.2,77.9,0.7,0,6.33,10,3
24,24,1604,Lionel Scaloni,44, D(R),182,80,1(2),132,0,0,0,0,0.7,74.1,0.3,0,6.31,1,2
25,25,31161,Marcelo Estigarribia,34," D(L),M(CLR)",181,71,8(1),629,1,0,1,0,1.6,72.3,0.8,0,6.27,8,1
26,26,2863,Rolando Bianchi,39, FW,188,78,3(18),591,0,0,1,0,1.2,64.9,2,0,6.22,3,18
27,27,240989,Alberto Grassi,27, DMC,183,75,2(1),201,0,0,0,0,0.7,87.7,0.3,0,6.22,2,1
28,28,85087,Richmond Boakye,29, FW,186,80,8(11),781,3,0,3,1,0.8,80.2,0.5,0,6.14,8,11
29,29,122055,Lorenzo Rosseti,28, Forward,188,77,0(1),45,0,0,0,0,0,77.8,1,0,6.04,0,1
30,30,92329,Leonardo Spinazzola,29," D(LR),M(L)",186,75,0(2),42,0,0,0,0,0,77.8,0,0,5.92,0,2
31,31,31104,Vlada Avramov,43, GK,188,80,1,56,0,0,0,1,0,40.0,1,0,5.59,1,0
