,Unnamed: 0,player_number,name,age,position,tall,weight,games,mins,goals,assists,yel,red,spg,ps,aw,motm,rating,start_games,sub_games
0,0,29463,Willian,34, AM(CLR),174,76,32(3),2751,5,6,5,0,1.7,82.4,0.1,3,7.2,32,3
1,1,8040,Cesc Fàbregas,35," M(CL),FW",180,77,33(4),2899,5,7,5,0,1.2,84.0,0.6,2,7.14,33,4
2,2,33404,Eden Hazard,31," M(CLR),FW",175,74,25(6),2192,4,3,2,0,1.2,86.0,0.4,5,7.11,25,6
3,3,24248,Diego Costa,33, FW,188,83,27(1),2379,12,6,8,0,2.4,77.8,1.5,2,7.08,27,1
4,4,44055,Pedro,35," M(CLR),FW",169,65,24(5),2044,7,2,3,0,2,83.8,0.3,1,7.03,24,5
5,5,25931,César Azpilicueta,33," D(CLR),M(R)",178,76,36(1),3202,2,3,7,0,0.3,81.7,1.2,1,7.03,36,1
6,6,38128,Nemanja Matic,34, DMC,194,85,28(5),2421,2,2,4,1,1,88.1,1.1,0,6.98,28,5
7,7,15338,Branislav Ivanovic,38, D(CR),185,80,33,2918,2,2,5,0,0.8,82.9,2.4,1,6.88,33,0
8,8,106086,Kurt Zouma,27, D(CR),190,96,21(2),1918,1,1,0,0,0.7,80.4,2.9,0,6.87,21,2
9,9,41065,Oscar,31, M(CLR),179,70,20(7),1775,3,3,4,0,1.9,81.1,0.4,2,6.86,20,7
10,10,11981,Gary Cahill,36, D(C),193,86,21(2),1955,2,1,2,0,0.6,83.6,3,0,6.81,21,2
11,11,109807,Bertrand Traoré,27," AM(R),FW",181,73,4(6),374,2,1,0,0,1.7,83.1,0.4,0,6.77,4,6
12,12,23122,Asmir Begovic,35, GK,199,101,15(2),1397,0,0,0,0,0,47.0,0.4,0,6.76,15,2
13,13,114845,Abdul Rahman Baba,28," D(L),M(L)",180,72,11(4),1017,0,1,1,0,0.4,83.7,0.5,0,6.75,11,4
14,14,15464,John Obi Mikel,35, M(C),188,83,19(6),1784,0,1,6,0,0.3,89.5,0.7,0,6.68,19,6
15,15,73798,Thibaut Courtois,30, GK,200,96,23,2020,0,0,1,2,0,48.2,0.3,0,6.66,23,0
16,16,132838,Kenedy,26," D(L),M(LR)",182,77,4(10),552,1,0,0,0,0.9,86.2,0.4,1,6.65,4,10
17,17,23158,Alexandre Pato,33," M(CLR),FW",175,72,1(1),131,1,0,0,0,2,88.9,0,0,6.62,1,1
18,18,28191,Ramires,35, M(CR),180,73,7(5),608,2,0,1,0,0.8,79.6,0.8,0,6.57,7,5
19,19,70,John Terry,41, D(C),187,90,24,1991,1,0,2,2,0.4,89.8,2,0,6.55,24,0
20,20,255777,Ruben Loftus-Cheek,26, M(CLR),191,88,4(9),408,1,0,0,0,0.9,87.7,0.5,0,6.49,4,9
21,21,44868,Juan Cuadrado,34," D(R),M(CLR),FW",179,72,0(1),26,0,0,0,0,1,100.0,0,0,6.36,0,1
22,22,131999,Matt Miazga,27, D(C),191,84,2,136,0,0,1,0,0,80.0,3.5,0,6.35,2,0
23,23,18701,Radamel Falcao,36, FW,177,72,1(9),228,1,0,1,0,1.1,75.0,1,0,6.27,1,9
24,24,23054,Loïc Rémy,35," M(LR),FW",185,80,3(10),285,1,0,0,0,1,84.2,0.5,0,6.26,3,10
25,25,312919,Jake Clarke-Salter,24, D(C),188,70,0(1),16,0,0,0,0,0,100.0,0,0,6.2,0,1
26,26,317507,Fikayo Tomori,24, D(CR),185,75,0(1),31,0,0,0,0,0,84.6,0,0,6.19,0,1
27,27,317506,Tammy Abraham,24, FW,190,80,0(2),53,0,0,0,0,1,70.0,0.5,0,5.96,0,2
