,Unnamed: 0,player_number,name,age,position,tall,weight,games,mins,goals,assists,yel,red,spg,ps,aw,motm,rating,start_games,sub_games
0,0,43415,Benjamin André,32," D(R),M(CLR)",180,76,34,3016,3,3,10,1,0.9,79.0,5.6,5,7.26,34,0.0
1,1,129282,Benjamin Bourigeaud,28, M(CLR),178,68,35(2),3106,10,7,3,0,1.8,80.2,0.4,4,7.16,35,2.0
2,2,289018,Hamari Traoré,30," D(R),M(R)",175,73,30,2640,0,1,10,0,0.5,79.5,2,3,7.12,30,0.0
3,3,288892,Ramy Bensebaïni,27," D(CL),DMC,M(L)",186,82,26(3),2345,0,1,6,0,0.7,77.7,2.6,2,7.01,26,3.0
4,4,71381,Wahbi Khazri,31," M(CLR),FW",176,80,23(1),1927,9,2,7,1,2.7,77.6,0.7,3,7.0,23,1.0
5,5,322670,Ismaïla Sarr,24," AM(CLR),FW",185,76,22(2),1866,5,3,2,0,1.7,79.7,0.5,0,6.92,22,2.0
6,6,34011,Ludovic Baal,36," D(L),M(L)",176,75,14(3),1161,0,0,0,0,0,78.3,1.6,0,6.81,14,3.0
7,7,283271,Tomás Koubek,30, GK,197,98,34,3060,0,0,0,0,0,53.9,0.5,0,6.79,34,0.0
8,8,298545,Joris Gnagnon,25, D(C),182,89,32(4),2918,2,2,3,0,0.8,90.9,1.9,1,6.79,32,4.0
9,9,107891,Sanjin Prcic,28, M(C),181,75,18(1),1569,1,2,3,0,0.9,87.3,0.6,1,6.77,18,1.0
10,10,345386,Gerzino Nyamsi,25, D(C),194,91,3,270,0,0,0,0,0.3,81.0,4.3,0,6.69,3,0.0
11,11,297540,Jérémy Gelin,25," D(C),DMC",183,77,25(3),2315,0,2,2,0,0.2,84.1,1.5,0,6.67,25,3.0
12,12,139586,Firmin Ndombe Mubele,28," AM(R),FW",175,74,13(6),1225,5,1,1,0,1.7,72.2,0.5,2,6.6,13,6.0
13,13,332144,James Léa Siliki,26, M(CL),183,70,19(13),1812,3,2,5,1,1.1,77.8,0.7,0,6.58,19,13.0
14,14,82622,Abdoulaye Diallo,30, GK,191,82,3,270,0,0,0,0,0,66.2,0,0,6.57,3,0.0
15,15,109941,Mehdi Zeffane,30," D(LR),M(R)",176,73,11(4),989,0,1,0,0,1,79.1,0.8,0,6.57,11,4.0
16,16,121720,Mexer,34, D(C),188,79,13(4),1197,0,0,1,0,0.2,84.0,2.5,0,6.54,13,4.0
17,17,8006,Yoann Gourcuff,36, M(CL),185,82,5(5),426,1,2,0,0,0.9,88.2,0.3,0,6.51,5,5.0
18,18,129999,Adrien Hunou,28," AM(CLR),FW",179,66,17(7),1463,5,1,1,0,1,79.9,0.5,1,6.44,17,7.0
19,19,121765,Brandon Thomas,27, FW,173,71,3(8),352,1,0,0,0,0.5,78.0,0.2,0,6.38,3,8.0
20,20,83297,Diafra Sakho,32, FW,184,79,7(6),777,2,0,1,0,1.5,66.4,1.8,0,6.38,7,6.0
21,21,23618,Romain Danzé,36," D(R),M(CR)",184,73,10(3),685,0,0,2,0,0.1,79.1,1.1,0,6.36,10,3.0
22,22,78623,Raïs M'Bolhi,36, GK,191,88,1,90,0,0,0,0,0,31.8,1,0,6.33,1,0.0
23,23,297541,Nicolas Janvier,24, M(C),171,71,1(2),75,0,0,0,0,0,80.4,0.3,0,6.28,1,2.0
24,24,296232,Faitout Maouassa,24," D(L),M(LR)",170,76,9(10),888,0,2,1,0,0.8,77.8,0.4,0,6.27,9,10.0
25,25,335686,Jordan Tell,25, Forward,185,74,0(6),109,1,0,0,0,1.2,78.6,0.3,0,6.19,0,6.0
26,26,22797,Morgan Amalfitano,37, M(CLR),176,68,10(4),751,0,0,1,2,0.8,85.5,0.2,0,6.09,10,4.0
27,27,330612,Afonso Figueiredo,29, D(L),169,63,1(4),222,0,0,1,0,0,70.3,0.4,0,6.08,1,4.0
