,Team,Matches,Wins,Draws,Loses,GoalsScored,GoalsReceived,AvgGS,AvgGA,Estimated_Wins_Extended,Estimated_Draws_Extended,Estimated_Loses_Extended,Points,Estimated_Points_Simple,Delta_Points_Simple,Estimated_Points_Extended,Delta_Points_Extended
0,Atletico Madrid,38,26,8,4,67,25,1.763157894736842,0.6578947368421053,12.0,15.0,11.0,86,84,2,52.0,34.0
1,Real Madrid,38,25,9,4,67,28,1.763157894736842,0.7368421052631579,12.0,15.0,11.0,84,81,3,52.0,32.0
2,Barcelona,38,24,7,7,85,38,2.236842105263158,1.0,12.0,15.0,11.0,79,80,-1,52.0,27.0
3,Sevilla,38,24,5,9,53,33,1.394736842105263,0.868421052631579,11.0,16.0,11.0,77,71,6,48.0,29.0
4,Real Sociedad,38,17,11,10,59,38,1.5526315789473684,1.0,11.0,16.0,11.0,62,66,-4,48.0,14.0
5,Real Betis,38,17,10,11,50,50,1.3157894736842106,1.3157894736842106,11.0,16.0,11.0,61,51,10,48.0,13.0
6,Villarreal,38,15,13,10,60,44,1.5789473684210527,1.1578947368421053,11.0,16.0,11.0,58,61,-3,48.0,10.0
7,Celta Vigo,38,14,11,13,55,57,1.4473684210526316,1.5,11.0,16.0,11.0,53,50,3,48.0,5.0
8,Athletic Club,38,11,13,14,46,42,1.2105263157894737,1.105263157894737,11.0,16.0,11.0,46,53,-7,48.0,-2.0
9,Granada,38,13,7,18,47,65,1.236842105263158,1.7105263157894737,10.0,15.0,13.0,46,41,5,45.0,1.0
10,Osasuna,38,11,11,16,37,48,0.9736842105263158,1.263157894736842,11.0,16.0,11.0,44,42,2,48.0,-4.0
11,Cadiz,38,11,11,16,36,58,0.9473684210526315,1.5263157894736843,11.0,16.0,11.0,44,34,10,48.0,-4.0
12,Valencia,38,10,13,15,50,53,1.3157894736842106,1.394736842105263,11.0,16.0,11.0,43,48,-5,48.0,-5.0
13,Levante,38,9,14,15,46,57,1.2105263157894737,1.5,11.0,16.0,11.0,41,42,-1,48.0,-7.0
14,Getafe,38,9,11,18,28,43,0.7368421052631579,1.131578947368421,11.0,16.0,11.0,38,36,2,48.0,-10.0
15,Alaves,38,9,11,18,36,57,0.9473684210526315,1.5,11.0,16.0,11.0,38,35,3,48.0,-10.0
16,Elche,38,8,12,18,34,55,0.8947368421052632,1.4473684210526316,11.0,16.0,11.0,36,34,2,48.0,-12.0
17,SD Huesca,38,7,13,18,34,53,0.8947368421052632,1.394736842105263,11.0,16.0,11.0,34,35,-1,48.0,-14.0
18,Real Valladolid,38,5,16,17,34,57,0.8947368421052632,1.5,11.0,16.0,11.0,31,32,-1,48.0,-17.0
19,Eibar,38,6,12,20,29,52,0.7631578947368421,1.368421052631579,11.0,16.0,11.0,30,31,-1,48.0,-18.0
