,Team,Matches,Wins,Draws,Loses,GoalsScored,GoalsReceived,AvgGS,AvgGA,Estimated_Wins_Extended,Estimated_Draws_Extended,Estimated_Loses_Extended,Points,Estimated_Points_Simple,Delta_Points_Simple,Estimated_Points_Extended,Delta_Points_Extended
0,Real Madrid,38,29,6,3,106,41,2.789473684210526,1.0789473684210527,20.0,29.0,-11.0,93,87,6,89.0,4.0
1,Barcelona,38,28,6,4,116,37,3.0526315789473686,0.9736842105263158,21.0,29.0,-12.0,90,91,-1,91.0,-1.0
2,Atletico Madrid,38,23,9,6,70,27,1.8421052631578947,0.7105263157894737,20.0,36.0,-18.0,78,84,-6,97.0,-19.0
3,Sevilla,38,21,9,8,69,49,1.8157894736842106,1.2894736842105263,18.0,31.0,-11.0,72,65,7,85.0,-13.0
4,Villarreal,38,19,10,9,56,33,1.4736842105263157,0.868421052631579,18.0,37.0,-17.0,67,71,-4,93.0,-26.0
5,Real Sociedad,38,19,7,12,59,53,1.5526315789473684,1.394736842105263,17.0,32.0,-11.0,64,57,7,84.0,-20.0
6,Athletic Club,38,19,6,13,53,43,1.394736842105263,1.131578947368421,17.0,35.0,-14.0,63,62,1,88.0,-25.0
7,Espanyol,38,15,11,12,49,50,1.2894736842105263,1.3157894736842106,17.0,34.0,-13.0,56,50,6,85.0,-29.0
8,Alaves,38,14,13,11,41,43,1.0789473684210527,1.131578947368421,16.0,38.0,-16.0,55,48,7,87.0,-32.0
9,Eibar,38,15,9,14,56,51,1.4736842105263157,1.3421052631578947,17.0,33.0,-12.0,54,56,-2,84.0,-30.0
10,Malaga,38,12,10,16,49,55,1.2894736842105263,1.4473684210526316,16.0,33.0,-11.0,46,47,-1,82.0,-36.0
11,Valencia,38,13,7,18,56,65,1.4736842105263157,1.7105263157894737,16.0,30.0,-8.0,46,47,-1,79.0,-33.0
12,Celta Vigo,38,13,6,19,53,69,1.394736842105263,1.8157894736842106,16.0,30.0,-8.0,45,43,2,78.0,-33.0
13,Las Palmas,38,10,9,19,53,74,1.394736842105263,1.9473684210526316,16.0,30.0,-8.0,39,39,0,77.0,-38.0
14,Real Betis,38,10,9,19,41,64,1.0789473684210527,1.6842105263157894,15.0,34.0,-11.0,39,35,4,79.0,-40.0
15,Deportivo La Coruna,38,8,12,18,43,61,1.131578947368421,1.605263157894737,15.0,33.0,-10.0,36,37,-1,80.0,-44.0
16,Leganes,38,8,11,19,36,55,0.9473684210526315,1.4473684210526316,15.0,36.0,-13.0,35,35,0,82.0,-47.0
17,Sporting Gijon,38,7,10,21,42,72,1.105263157894737,1.894736842105263,15.0,32.0,-9.0,31,32,-1,77.0,-46.0
18,Osasuna,38,4,10,24,40,94,1.0526315789473684,2.473684210526316,14.0,30.0,-6.0,22,22,0,72.0,-50.0
19,Granada,38,4,8,26,30,82,0.7894736842105263,2.1578947368421053,13.0,34.0,-9.0,20,19,1,73.0,-53.0
