,Unnamed: 0,player_number,name,age,position,tall,weight,games,mins,goals,assists,yel,red,spg,ps,aw,motm,rating,start_games,sub_games
0,0,14260,Sergio Agüero,34," AM(CL),FW",173,70,24(7),2205,12,4,6,0,2.8,77.3,0.1,3,7.25,24,7
1,1,3510,Diego Forlán,43, FW,180,75,30(3),2577,18,6,1,0,3.8,68.1,0.3,2,7.2,30,3
2,2,8128,Tiago,41, M(C),184,75,16(2),1452,2,0,7,0,0.9,80.7,1.7,2,7.11,16,2
3,3,6176,José Antonio Reyes,39, M(CLR),176,72,19(11),1727,2,5,3,1,1.8,67.7,0.8,1,7.06,19,11
4,4,32258,Sergio Asenjo,33, GK,189,87,15,1275,0,0,0,0,0,34.3,0.1,1,6.98,15,0
5,5,2336,Juanito,46," D(L),DMC",183,76,15(2),1444,2,0,6,0,0.5,73.9,1.8,0,6.95,15,2
6,6,9253,Antonio López,41, D(L),173,65,29(2),2586,2,1,6,0,0.5,73.8,1.1,2,6.95,29,2
7,7,18277,Paulo Assunção,42, M(C),173,70,29(1),2497,1,1,10,1,0.3,81.9,0.7,1,6.94,29,1
8,8,14259,José Manuel Jurado,36, M(CLR),173,72,29(9),2697,7,4,1,0,1.8,82.4,0.3,2,6.92,29,9
9,9,1114,Simão,42, M(L),170,64,30(4),2447,2,3,6,1,1,79.1,0.4,1,6.92,30,4
10,10,4782,Mariano Pernía,45, Defender,178,79,1,90,0,0,0,0,1,65.1,0,0,6.8,1,0
11,11,32273,Luis Perea,43, D(CLR),180,76,27(1),2474,0,1,7,0,0,70.9,1.5,0,6.75,27,1
12,12,79554,David de Gea,31, GK,192,76,19,1710,0,0,1,0,0,38.4,0.1,0,6.75,19,0
13,13,20883,Cléber Santana,41, M(C),187,80,8(6),827,1,1,3,1,1.8,86.5,0.6,0,6.74,8,6
14,14,2751,Tomas Ujfalusi,44," D(LR),DMC",185,76,26(1),2369,0,2,6,1,0.4,75.4,1.1,0,6.74,26,1
15,15,43990,Eduardo Salvio,32, M(CR),173,71,5(8),562,2,1,2,0,1.1,72.3,0.1,1,6.71,5,8
16,16,11386,Raúl García,36," M(CLR),FW",184,83,12(8),1040,0,2,3,1,0.7,69.0,1,0,6.68,12,8
17,17,14263,Juan Valera,37, D(R),184,76,19(4),1616,0,3,2,0,0.5,76.3,1.1,0,6.65,19,4
18,18,4445,Maxi Rodríguez,41," M(CL),FW",180,75,9(5),765,2,0,2,0,1.6,80.9,0.4,0,6.65,9,5
19,19,35771,Álvaro Domínguez,33, D(CL),189,83,26,2228,0,0,8,1,0.3,72.4,1.5,0,6.6,26,0
20,20,19442,Roberto Jiménez,36, GK,192,94,3,270,0,0,0,0,0,40.3,0,0,6.59,3,0
21,21,6536,Pablo Ibáñez,41, D(L),192,80,6(1),543,0,0,2,0,0,75.0,1.1,0,6.5,6,1
22,22,73265,Leandro Cabrera,31, D(CL),190,80,4,360,0,0,1,0,0.5,62.0,0.5,0,6.49,4,0
23,23,35199,Ignacio Camacho,32," D(C),M(C)",182,75,6(6),530,0,1,2,0,0.4,79.8,0.3,0,6.43,6,6
24,24,3789,Florent Sinama-Pongolle,37," AM(L),FW",176,70,3(7),301,0,0,0,0,0.5,70.0,1,0,6.4,3,7
25,25,82708,Ibrahima Baldé,33, FW,188,72,5(13),502,3,0,1,0,0.8,65.3,0.8,0,6.37,5,13
26,26,68706,Keko,30, M(R),172,68,0(1),27,0,0,0,0,0,100.0,0,0,6.36,0,1
27,27,80764,Koke,30, M(CLR),176,77,1(3),126,0,0,0,0,0.3,85.5,0,0,6.19,1,3
28,28,67480,Rubén Pérez,33, M(C),178,73,0(1),11,0,0,0,0,0,77.8,0,0,6.18,0,1
29,29,81681,Joel Robles,32, GK,195,78,1(1),167,0,0,0,0,0,33.3,0,0,6.17,1,1
30,30,106872,Borja Bastón,30, FW,186,83,0(1),22,0,0,0,0,0,80.0,0,0,6.03,0,1
31,31,85499,Jorge Molino,34, Forward,182,77,0(1),4,0,0,0,0,0,75.0,0,0,6.03,0,1
32,32,6023,John Heitinga,38, D(C),182,72,1,90,0,0,1,0,2,65.9,0,0,5.86,1,0
