,Unnamed: 0,player_number,name,age,position,tall,weight,games,mins,goals,assists,yel,red,spg,ps,aw,motm,rating,start_games,sub_games
0,0,5583,Cristiano Ronaldo,37," M(L),FW",187,83,28(1),2490,26,7,3,2,7.3,79.7,0.9,13,8.54,28,1
1,1,19729,Gonzalo Higuaín,34, FW,186,89,28(4),2401,27,5,3,0,3.1,81.5,0.1,6,7.9,28,4
2,2,897,Ruud van Nistelrooy,46," AM(L),FW",188,80,0(1),11,1,1,0,0,1,66.7,0,0,7.81,0,1
3,3,9909,Sergio Ramos,36, D(CR),184,82,33,2902,4,5,13,1,1.1,85.3,2,2,7.71,33,0
4,4,20241,Marcelo,34," D(L),M(L)",174,75,34(1),3001,4,9,5,0,1.6,81.0,0.4,1,7.68,34,1
5,5,4961,Xabi Alonso,40, M(C),183,80,34,3010,3,5,12,0,1.2,85.6,1,1,7.58,34,0
6,6,10105,Pepe,39, D(C),188,81,10,856,1,0,1,0,0.5,80.7,1.8,1,7.47,10,0
7,7,3577,Kaká,40," M(CL),FW",186,78,21(4),1829,8,5,3,0,2.8,85.8,0.4,0,7.43,21,4
8,8,23758,Esteban Granero,35, M(CLR),180,78,21(10),1867,3,5,3,0,1.6,84.6,0.4,1,7.3,21,10
9,9,11104,Álvaro Arbeloa,39, D(LR),184,79,30,2649,2,2,10,0,0.3,87.3,0.9,0,7.27,30,0
10,10,2288,Christoph Metzelder,41, DMC,194,92,2,180,0,0,0,0,0.5,86.4,2.5,0,7.21,2,0
11,11,4343,Rafael van der Vaart,39, M(C),176,74,16(10),1216,6,7,1,0,2.4,85.8,0.5,3,7.19,16,10
12,12,14079,Ezequiel Garay,35, D(C),189,90,19(1),1686,1,2,5,0,0.5,86.1,1.7,0,7.18,19,1
13,13,1063,Guti,45, AM(C),182,78,10(16),1243,2,9,5,0,1,86.1,0.2,1,7.16,10,16
14,14,17651,Fernando Gago,36, M(C),178,73,14(4),1181,0,2,4,0,0.8,85.2,1.3,0,7.13,14,4
15,15,12575,Raúl Albiol,37, D(C),187,74,32(1),2843,0,1,6,1,0.4,82.6,0.9,0,6.97,32,1
16,16,18285,Lassana Diarra,37, M(C),173,73,19(4),1672,1,0,8,1,0.4,84.6,0.6,0,6.97,19,4
17,17,14296,Karim Benzema,34, FW,185,81,14(13),1308,8,3,0,0,2.3,81.3,0.1,2,6.95,14,13
18,18,2776,Iker Casillas,41, GK,185,84,38,3420,0,0,0,0,0,58.1,0.1,0,6.86,38,0
19,19,23170,Royston Ricky Drenthe,35, M(CLR),167,72,3(5),282,0,1,2,0,0.6,84.0,0.1,0,6.7,3,5
20,20,4026,Mahamadou Diarra,41, DMC,182,80,4(11),470,0,0,2,0,0.3,87.3,0.9,0,6.54,4,11
21,21,1106,Raúl,45," AM(CL),FW",180,68,8(22),1050,5,1,1,0,1.1,81.3,0.7,1,6.54,8,22
22,22,84963,Juanfran,34," D(R),M(R)",180,72,0(1),5,0,0,0,0,0,100.0,0,0,6.27,0,1
23,23,55299,Pedro Mosquera,34, M(C),184,75,0(1),1,0,0,0,0,0,66.7,0,0,6.12,0,1
24,24,84008,Marcos Alonso,31," D(CL),M(L)",188,84,0(1),1,0,0,0,0,0,100.0,0,0,6.0,0,1
