,player_number,name,age,position,tall,weight,games,start_games,sub_games,mins,goals,assists,yellow_cards,red_cards,shots_per_game,pass_success_percentage,aerials_won,man_of_the_match,rating
0,21541,Mats Hummels,33, D(C),191,94,23(1),23,1,2032,2,0,2,0,0.9,77.3,6.1,4,7.6
1,41330,Marco Reus,33," M(CLR),FW",180,71,18(2),18,2,1571,7,5,1,0,3.3,75.7,0.8,5,7.54
2,14176,Nuri Sahin,34, M(C),180,73,6(1),6,1,544,1,0,0,0,1.9,74.5,3.1,0,7.44
3,28421,Henrikh Mkhitaryan,33," M(CLR),FW",177,75,21(7),21,7,1921,3,4,4,0,2.5,73.5,1.1,3,7.33
4,22210,Sokratis Papastathopoulos,34, D(CR),186,85,19(2),19,2,1727,1,0,6,0,0.6,79.1,4.6,0,7.17
5,43364,Marcel Schmelzer,34," D(CL),M(L)",180,74,22,22,0,1920,0,2,4,0,1.2,72.8,2.2,0,7.16
6,77464,Ilkay Gündogan,31, M(C),180,80,22(1),22,1,1911,3,4,2,0,1.7,85.5,0.9,0,7.16
7,25482,Neven Subotic,33, D(C),193,83,24(4),24,4,2275,2,0,9,0,0.7,79.6,4.8,1,7.12
8,44120,Pierre-Emerick Aubameyang,33," M(CLR),FW",187,80,31(2),31,2,2723,16,6,4,0,3.1,66.7,1.6,0,7.07
9,5513,Oliver Kirch,40," D(R),M(C)",182,76,5(1),5,1,434,0,1,0,0,1.0,83.0,0.7,0,7.05
10,22589,Sven Bender,33," D(C),M(C)",186,79,14(6),14,6,1253,0,0,2,0,0.3,79.5,2.7,1,6.97
11,115165,Erik Durm,30," D(LR),M(LR)",182,70,18,18,0,1585,1,1,2,0,0.6,70.4,1.9,0,6.91
12,842,Sebastian Kehl,42, M(C),187,87,20(1),20,1,1695,0,1,3,0,0.4,81.9,2.7,0,6.82
13,11090,Lukasz Piszczek,37," D(CR),M(R)",184,79,19(3),19,3,1654,0,1,4,0,0.5,72.2,2.1,0,6.79
14,42862,Shinji Kagawa,33, M(CL),175,68,23(5),23,5,1880,5,5,2,0,1.4,81.8,0.8,0,6.78
15,110182,Matthias Ginter,28," D(CR),DMC",191,86,9(5),9,5,840,0,1,1,0,1.0,80.5,3.5,0,6.76
16,80994,Kevin Kampl,31, M(CLR),178,66,8(5),8,5,723,0,1,2,0,0.8,71.1,0.4,0,6.69
17,21988,Jakub Blaszczykowski,36," D(R),M(CR)",175,71,6(7),6,7,599,0,0,0,0,0.5,75.2,0.3,0,6.67
18,262879,Jeremy Dudziak,27," D(LR),M(CL)",176,70,0(3),0,3,60,0,1,0,0,0.0,82.9,0.0,0,6.62
19,24420,Adrián Ramos,36, FW,184,78,6(12),6,12,712,2,2,0,0,1.1,64.4,2.9,1,6.5
20,31005,Kevin Großkreutz,34," D(LR),M(CLR)",186,78,12(5),12,5,1047,0,2,2,0,0.8,75.8,1.3,0,6.48
21,119563,Milos Jojic,30, M(CLR),177,79,5(5),5,5,513,0,0,3,0,1.4,85.2,1.2,0,6.46
22,238732,Mitsuru Maruoka,26, Midfielder,173,64,0(1),0,1,10,0,0,0,0,0.0,100.0,0.0,0,6.44
23,110185,Joseph-Claude Gyau,30," D(R),M(LR)",175,75,0(1),0,1,16,0,0,0,0,0.0,88.9,0.0,0,6.43
24,5490,Roman Weidenfeller,42, GK,190,90,25,25,0,2250,0,0,0,0,0.0,63.4,0.6,0,6.4
25,70141,Ciro Immobile,32, FW,185,78,9(15),9,15,955,3,1,1,0,1.8,65.9,1.1,1,6.36
26,34595,Mitchell Langerak,34, GK,193,81,9,9,0,810,0,0,0,0,0.0,63.1,0.6,0,6.35
27,115163,Jonas Hofmann,30, M(CLR),176,73,0(2),0,2,19,0,0,0,0,0.0,69.2,0.0,0,5.94
