,player_number,name,age,position,tall,weight,games,start_games,sub_games,mins,goals,assists,yellow_cards,red_cards,shots_per_game,pass_success_percentage,aerials_won,man_of_the_match,rating
0,343346,Mason Mount,23, M(CLR),178,70,32(4),32,4,2892,6,5,2,0,2.3,86.5,0.6,4,7.33
1,106086,Kurt Zouma,27, D(CR),190,96,22(2),22,2,2025,5,0,3,0,1.1,90.9,3.6,1,7.07
2,104010,Antonio Rüdiger,29, D(CR),190,85,19,19,0,1710,1,0,0,0,0.7,89.4,2.2,0,7.02
3,299272,Ben Chilwell,25," D(L),M(L)",178,77,27,27,0,2290,3,5,3,0,1.0,82.0,1.4,2,7.0
4,361330,Reece James,22," D(CR),DMC,M(R)",182,82,25(7),25,7,2367,1,2,3,0,1.1,88.4,1.3,1,6.94
5,25931,César Azpilicueta,33," D(CLR),M(R)",178,76,24(2),24,2,2191,1,2,5,1,0.4,86.9,2.1,1,6.92
6,28550,Thiago Silva,37, D(C),183,79,23,23,0,1938,2,0,3,1,0.6,93.0,2.0,0,6.91
7,84008,Marcos Alonso,31," D(CL),M(L)",188,84,11(2),11,2,960,2,0,2,0,1.7,82.5,1.8,1,6.9
8,106968,Jorginho,30, DMC,180,65,23(5),23,5,2014,7,1,2,0,0.5,89.2,0.6,4,6.88
9,114075,N'Golo Kanté,31, DMC,168,68,24(6),24,6,2146,0,2,7,0,0.3,86.5,0.6,1,6.86
10,317507,Fikayo Tomori,24, D(CR),185,75,0(1),0,1,45,0,0,0,0,0.0,96.6,0.0,0,6.85
11,93894,Mateo Kovacic,28, M(CL),178,78,21(6),21,6,1820,0,1,4,0,0.9,90.8,0.4,2,6.84
12,130903,Timo Werner,26," AM(CLR),FW",180,75,29(6),29,6,2608,6,8,2,0,2.3,78.8,0.3,1,6.81
13,130331,Andreas Christensen,26," D(C),DMC",187,82,15(2),15,2,1375,0,0,2,1,0.2,91.3,2.2,0,6.8
14,302692,Christian Pulisic,24," M(CLR),FW",172,69,18(9),18,9,1738,4,2,2,0,1.6,82.9,0.7,2,6.74
15,350088,Callum Hudson-Odoi,21, M(CLR),182,76,10(13),10,13,1060,2,3,0,0,1.0,86.1,0.0,0,6.73
16,115868,Hakim Ziyech,29, M(CLR),180,65,15(8),15,8,1180,2,3,3,0,1.5,79.1,0.2,2,6.71
17,317506,Tammy Abraham,24, FW,190,80,12(10),12,10,1036,6,1,0,0,1.5,72.7,1.8,2,6.7
18,101955,Emerson,28," D(L),M(L)",176,63,0(2),0,2,89,0,0,0,0,0.0,73.2,1.5,0,6.63
19,326413,Kai Havertz,23," M(CR),FW",188,83,18(9),18,9,1522,4,3,2,0,1.2,84.9,1.1,1,6.6
20,321390,Édouard Mendy,30, GK,197,86,31,31,0,2746,0,0,2,0,0.0,83.3,0.1,0,6.56
21,24444,Olivier Giroud,35, FW,192,93,8(9),8,9,747,4,0,1,0,1.7,70.3,1.4,1,6.52
22,92547,Ross Barkley,28, M(CLR),189,76,0(2),0,2,40,0,0,0,0,0.5,85.2,1.0,0,6.34
23,381255,Billy Gilmour,21, DMC,166,60,3(2),3,2,260,0,0,0,0,0.2,88.0,0.4,0,6.32
24,255777,Ruben Loftus-Cheek,26, M(CLR),191,88,1,1,0,61,0,0,0,0,0.0,64.7,1.0,0,6.23
25,113880,Kepa Arrizabalaga,27, GK,189,84,6(1),6,1,585,0,0,1,0,0.0,78.5,0.0,0,6.17
26,34749,Willy Caballero,40, GK,186,81,1,1,0,90,0,0,0,0,0.0,91.7,0.0,0,5.41
