,player_number,name,age,position,tall,weight,games,start_games,sub_games,mins,goals,assists,yellow_cards,red_cards,shots_per_game,pass_success_percentage,aerials_won,man_of_the_match,rating
0,88526,Casemiro,30, DMC,185,84,35,35,0.0,3091,4,3,12,0,1.3,84.1,2.9,3,7.47
1,14296,Karim Benzema,34, FW,185,81,36(1),36,1.0,3155,21,8,0,0,3.4,86.2,0.8,10,7.44
2,33404,Eden Hazard,31," M(CLR),FW",175,74,14(2),14,2.0,1088,1,3,0,0,1.2,85.9,0.4,1,7.3
3,31772,Toni Kroos,32, M(C),183,76,31(4),31,4.0,2656,4,5,2,0,1.6,93.5,0.3,2,7.2
4,106883,Daniel Carvajal,30, D(R),173,73,31,31,0.0,2741,1,5,11,0,0.6,86.6,0.9,3,7.18
5,20241,Marcelo,34," D(L),M(L)",174,75,15,15,0.0,1299,1,2,2,0,1.1,84.2,0.7,1,7.15
6,106875,Nacho,32, D(CLR),180,76,4(2),4,2.0,438,1,0,3,0,1.0,86.8,2.7,1,7.14
7,9909,Sergio Ramos,36, D(CR),184,82,35,35,0.0,3017,11,0,10,0,1.1,91.0,2.0,1,7.07
8,20874,Luka Modric,37, M(C),172,66,22(9),22,9.0,1998,3,7,7,1,1.0,88.6,0.4,4,7.01
9,296337,Ferland Mendy,27," D(L),M(L)",180,73,19(6),19,6.0,1806,1,2,6,1,0.3,87.9,1.0,0,7.01
10,93206,Raphaël Varane,29, D(C),191,81,32,32,0.0,2823,2,1,2,0,0.3,87.3,2.5,1,6.98
11,71182,James Rodríguez,31," AM(CLR),FW",180,75,5(3),5,3.0,419,1,1,1,0,1.1,82.3,0.6,0,6.91
12,337879,Éder Militão,24, D(CR),186,78,10(5),10,5.0,1020,0,0,3,0,0.1,87.5,2.5,0,6.85
13,73798,Thibaut Courtois,30, GK,200,96,34,34,0.0,3060,0,0,1,0,0.0,75.1,0.1,0,6.84
14,13812,Gareth Bale,33," M(CLR),FW",185,81,12(4),12,4.0,1092,2,2,2,1,2.1,79.1,1.8,0,6.82
15,137467,Marco Asensio,26, AM(CLR),182,76,3(6),3,6.0,334,3,1,0,0,0.9,87.6,0.2,0,6.79
16,344644,Federico Valverde,24, M(CLR),182,78,21(12),21,12.0,1906,2,5,1,0,0.7,88.2,0.8,0,6.73
17,347862,Rodrygo,21, AM(CLR),174,64,12(7),12,7.0,1023,2,0,0,0,0.8,87.9,0.5,0,6.72
18,82989,Isco,30," M(CLR),FW",176,79,15(8),15,8.0,1190,1,2,2,0,1.0,88.0,0.3,1,6.7
19,337782,Vinícius Júnior,22," AM(L),FW",176,73,12(17),12,17.0,1354,3,1,4,0,1.3,80.7,0.1,2,6.66
20,144511,Lucas Vázquez,31," D(R),M(R)",173,70,8(10),8,10.0,841,2,1,1,0,0.6,83.5,0.2,0,6.66
21,92516,Alphonse Areola,29, GK,195,94,4,4,0.0,360,0,0,1,0,0.0,80.4,0.3,0,6.59
22,317354,Álvaro Odriozola,26, D(R),176,66,4,4,0.0,344,0,1,1,1,0.5,91.1,0.0,0,6.49
23,315755,Luka Jovic,24, FW,182,85,4(13),4,13.0,422,2,1,2,0,0.8,80.6,0.9,0,6.35
24,317541,Brahim Díaz,23, AM(CLR),171,59,0(6),0,6.0,60,0,0,1,0,0.5,82.5,0.0,0,6.08
25,323236,Mariano Díaz,29, FW,180,76,0(5),0,5.0,42,1,0,1,0,1.2,71.4,0.4,0,6.07
