,player_number,name,age,position,tall,weight,games,start_games,sub_games,mins,goals,assists,yellow_cards,red_cards,shots_per_game,pass_success_percentage,aerials_won,man_of_the_match,rating
0,115161,Marcel Halstenberg,30," D(CL),M(L)",188,87,27(1),27,1,2414,3,6,2,0,0.8,74.3,2.6,3,7.56
1,104917,Willi Orbán,29, D(C),186,87,23(1),23,1,2050,4,0,5,0,1.1,78.2,4.8,3,7.41
2,315275,Tyler Adams,23," D(R),M(CR)",175,72,8(2),8,2,723,0,2,0,0,0.2,80.3,1.7,0,7.3
3,132943,Yussuf Poulsen,28," AM(R),FW",192,84,27(4),27,4,2454,15,3,2,0,2.1,60.8,4.6,4,7.27
4,345957,Ibrahima Konaté,23, D(C),194,95,27(1),27,1,2431,1,1,7,0,0.5,76.0,3.6,0,7.19
5,130903,Timo Werner,26," AM(CLR),FW",180,75,29(1),29,1,2525,16,7,1,0,3.6,74.2,0.3,5,7.17
6,80994,Kevin Kampl,31, M(CLR),178,66,25(2),25,2,2122,2,5,5,0,1.3,84.4,0.6,2,7.13
7,141716,Emil Forsberg,30," AM(CLR),FW",177,76,14(6),14,6,1254,4,7,0,0,1.5,81.6,0.4,1,7.02
8,143600,Lukas Klostermann,26," D(CLR),M(R)",187,88,22(4),22,4,2003,5,1,1,0,0.5,74.0,1.6,2,7.01
9,299077,Nordi Mukiele,24," D(CR),M(R)",187,84,14(5),14,5,1227,1,1,3,0,0.4,72.8,2.1,0,6.99
10,92051,Marcel Sabitzer,28," M(CLR),FW",178,76,26(4),26,4,2356,4,3,9,0,2.1,70.4,0.7,1,6.94
11,67369,Péter Gulácsi,32, GK,191,86,33,33,0,2926,0,0,0,0,0.0,58.9,0.2,1,6.93
12,133886,Diego Demme,30, DMC,172,71,24(2),24,2,2061,0,2,4,0,0.4,81.5,1.1,0,6.92
13,327721,Dayot Upamecano,23, D(C),186,90,14(1),14,1,1292,0,0,5,0,0.7,82.5,3.1,0,6.86
14,345388,Marcelo Saracchi,24, D(L),185,69,7(2),7,2,652,0,1,2,0,0.1,71.5,1.7,0,6.77
15,298837,Amadou Haidara,24, M(CLR),175,72,4(5),4,5,375,1,0,1,0,1.3,78.3,1.2,1,6.72
16,248010,Konrad Laimer,25," D(R),M(CR)",180,72,20(9),20,9,1878,1,1,7,0,0.5,70.1,0.7,1,6.72
17,117980,Bruma,27, AM(CLR),173,70,6(8),6,8,549,1,1,1,0,1.0,86.9,0.1,0,6.47
18,37940,Stefan Ilsanker,33," D(CR),DMC",189,85,10(9),10,9,928,0,0,5,1,0.2,78.6,1.9,0,6.44
19,362758,Matheus Cunha,23," AM(CL),FW",184,76,9(16),9,16,849,2,0,1,0,1.4,69.2,0.6,0,6.35
20,245643,Jean-Kévin Augustin,25," AM(R),FW",177,69,4(13),4,13,452,3,0,0,0,0.8,79.1,0.1,0,6.32
21,103542,Yvon Mvogo,28, GK,188,88,1(1),1,1,135,0,0,0,0,0.0,77.8,0.0,0,6.15
22,363686,Emile Smith Rowe,22, AM(CL),182,79,0(3),0,3,28,0,0,0,0,0.0,77.8,0.0,0,6.1
