,player_number,name,age,position,tall,weight,games,start_games,sub_games,mins,goals,assists,yellow_cards,red_cards,shots_per_game,pass_success_percentage,aerials_won,man_of_the_match,rating
0,33724,Éver Banega,34, M(C),174,77,13,13,0.0,1065,0,1,3,0,1.8,85.3,0.1,1,7.42
1,879,David Albelda,45, M(C),181,77,19(2),19,2.0,1599,0,0,10,1,0.2,82.2,1.6,0,7.13
2,6687,Miguel Brito,42, D(R),179,78,11,11,0.0,925,0,2,3,0,0.2,75.8,0.9,0,7.07
3,26877,Adil Rami,36, D(C),190,90,33,33,0.0,2970,2,1,10,1,0.6,81.1,2.2,0,7.03
4,33866,Vicente Guaita,35, GK,190,81,26,26,0.0,2340,0,0,1,0,0.0,58.6,0.3,2,7.02
5,18275,Roberto Soldado,37, FW,180,74,29(3),29,3.0,2454,17,3,11,0,2.5,73.4,0.5,4,7.02
6,44288,Jordi Alba,33," D(L),M(L)",170,68,27(5),27,5.0,2541,2,5,13,1,0.5,78.9,0.2,1,7.01
7,5881,Jeremy Mathieu,38, D(CL),189,82,27(4),27,4.0,2363,0,3,5,0,0.7,74.2,1.4,1,7.01
8,42834,Alberto Costa,37, M(C),176,77,22(5),22,5.0,2033,5,2,12,1,1.6,78.8,0.4,2,6.99
9,34239,Sofiane Feghouli,32, M(CR),177,75,25(5),25,5.0,2108,6,4,7,1,1.1,75.1,0.5,1,6.97
10,28186,Daniel Parejo,33, M(C),182,74,12(4),12,4.0,1000,0,0,4,0,0.9,89.6,0.5,0,6.94
11,22033,Jonas,38," AM(CLR),FW",181,73,23(11),23,11.0,2110,10,5,4,0,2.4,77.8,0.7,2,6.94
12,79558,Víctor Ruiz,33, D(C),184,95,22,22,0.0,1961,0,0,7,0,0.1,83.2,1.0,1,6.92
13,10110,Ricardo Costa,41, D(C),183,80,11(1),11,1.0,1011,0,0,4,1,1.0,84.4,2.4,1,6.91
14,14085,Antonio Barragán,35," D(CR),M(R)",182,76,15(3),15,3.0,1422,0,0,6,0,0.4,79.9,1.0,0,6.87
15,35202,Ángel Dealbert,39, D(C),185,80,11,11,0.0,990,0,0,1,0,0.0,82.5,0.5,1,6.87
16,22167,Mehmet Topal,36," D(C),M(C)",187,82,13(7),13,7.0,1279,0,0,4,0,0.4,82.9,1.2,0,6.84
17,30641,Diego Alves,37, GK,190,90,12,12,0.0,1080,0,0,3,0,0.0,64.8,0.1,0,6.83
18,44189,Sergio Canales,31, M(CLR),176,65,6(5),6,5.0,576,1,2,1,0,1.2,85.9,0.0,0,6.82
19,23957,Bruno,41," D(R),M(R)",181,76,11(3),11,3.0,897,0,1,5,0,0.1,80.0,0.7,2,6.77
20,29571,Pablo Hernández,37, M(CLR),173,64,19(11),19,11.0,1777,3,3,5,0,1.3,78.4,0.1,0,6.73
21,14525,Hedwiges Maduro,37, DMC,185,79,4(3),4,3.0,390,0,0,1,0,0.4,91.7,0.6,0,6.69
22,9294,Aritz Aduriz,41, FW,181,77,11(18),11,18.0,1286,7,1,5,1,1.9,69.6,2.1,1,6.67
23,23062,Pablo Piatti,33, M(CLR),163,63,14(16),14,16.0,1232,2,2,3,0,1.0,71.2,0.2,0,6.36
24,106894,Juan Bernat,29," D(L),M(CL)",177,67,2(5),2,5.0,183,0,0,0,0,0.4,78.2,0.3,0,6.22
25,95953,Paco Alcácer,29," AM(R),FW",175,72,0(3),0,3.0,34,0,0,0,0,0.3,100.0,0.0,0,6.07
