,Unnamed: 0,player_number,name,age,position,tall,weight,games,mins,goals,assists,yel,red,spg,ps,aw,motm,rating,start_games,sub_games
0,0,294056,Danilo Barbosa,26," D(C),DMC",183,74,1,90,0,0,0,0,0,76.2,4,0,7.26,1,0.0
1,1,79976,Andy Delort,30," AM(R),FW",182,82,26(6),2449,16,2,3,0,3.1,61.1,3.1,5,7.09,26,6.0
2,2,361433,Marcin Bulka,22, Goalkeeper,199,0,1,90,0,0,0,0,0,83.3,0,0,7.08,1,0.0
3,3,361816,Youcef Atal,26," D(R),M(R)",176,69,13(4),1144,2,1,4,0,0.8,78.8,1.6,2,7.08,13,4.0
4,4,348654,Amine Gouiri,22," AM(L),FW",180,72,32(6),2765,10,9,3,0,2,80.4,0.3,5,7.01,32,6.0
5,5,389064,Melvin Bard,21, D(L),173,65,30(3),2593,2,2,4,0,0.2,82.8,1.2,1,6.89,30,3.0
6,6,361710,Jean-Clair Todibo,22, D(C),192,88,35(1),3116,1,0,6,0,0.5,87.5,1.9,2,6.87,35,1.0
7,7,331579,Justin Kluivert,23, AM(LR),171,67,25(3),1883,4,5,7,1,1.1,76.3,0.5,2,6.79,25,3.0
8,8,123481,Mario Lemina,29, DMC,184,85,24(8),1972,2,0,6,1,0.5,87.8,0.7,1,6.79,24,8.0
9,9,130304,Walter Benítez,29, GK,191,91,37,3330,0,0,2,0,0,71.0,0.4,3,6.79,37,0.0
10,10,134902,Jordan Amavi,28," D(L),M(L)",176,70,4(4),414,0,0,1,0,0,84.8,1.3,0,6.74,4,4.0
11,11,6683,Dante,38, D(C),188,87,33(1),2874,0,0,5,3,0.4,90.5,1.5,1,6.71,33,1.0
12,12,329647,Pablo Rosario,25, DMC,188,73,31(5),2736,0,2,7,0,0.5,88.5,1.2,0,6.68,31,5.0
13,13,366379,Khéphren Thuram,21, DMC,192,81,20(16),1897,4,2,4,0,0.6,86.4,0.6,1,6.65,20,16.0
14,14,398414,Dan Ndoye,21, Forward,183,78,2(1),204,0,1,0,0,1,72.0,0.7,0,6.63,2,1.0
15,15,377583,Hicham Boudaoui,22, M(CR),175,61,21(8),1633,3,2,7,0,0.6,79.3,0.4,0,6.61,21,8.0
16,16,379615,Lucas da Cunha,21, AM(R),174,66,5(5),392,0,1,0,0,1,76.3,0.7,0,6.61,5,5.0
17,17,322163,Kasper Dolberg,24, FW,187,82,20(7),1503,6,2,1,0,1.5,71.0,0.8,1,6.57,20,7.0
18,18,398415,Flavius Daniliuc,21, D(CR),185,0,14(10),1291,0,0,4,0,0.2,88.7,0.9,0,6.52,14,10.0
19,19,345527,Jordan Lotomba,23," D(LR),M(R)",177,71,19(11),1782,0,0,4,0,0.3,82.7,0.4,0,6.49,19,11.0
20,20,336074,Myziane Maolida,23," AM(LR),FW",183,80,0(1),33,0,0,0,0,1,57.1,0,0,6.48,0,1.0
21,21,239881,Hassane Kamara,28," D(L),M(LR)",168,67,7(4),546,0,0,2,0,1.2,85.1,0.2,0,6.46,7,4.0
22,22,29544,Morgan Schneiderlin,32, DMC,181,75,5(15),639,0,1,1,1,0.1,85.5,0.6,0,6.4,5,15.0
23,23,328987,Calvin Stengs,23, AM(CR),182,74,11(13),1071,1,1,1,0,0.9,76.4,0.1,0,6.38,11,13.0
24,24,327905,Alexis Claude-Maurice,24, AM(CL),174,62,0(10),200,0,2,1,0,0.6,86.8,0.1,0,6.37,0,10.0
25,25,382587,Evann Guessand,21, FW,185,79,2(18),424,1,2,3,0,0.6,68.0,0.6,0,6.32,2,18.0
26,26,362801,Billal Brahimi,22, Forward,183,0,2(9),371,0,0,1,0,0.4,80.3,0.2,0,6.24,2,9.0
