,player_number,name,age,position,tall,weight,games,start_games,sub_games,mins,goals,assists,yellow_cards,red_cards,shots_per_game,pass_success_percentage,aerials_won,man_of_the_match,rating
0,353423,Aurélien Tchouaméni,22, DMC,185,80,33(2),33,2,2933,3,2,9,1,1.6,86.7,2.2,5,7.32
1,89946,Wissam Ben Yedder,32," AM(C),FW",170,68,29(8),29,8,2541,25,5,3,0,1.9,73.5,0.6,1,7.04
2,361284,Sofiane Diop,22, AM(CLR),175,65,24(6),24,6,1959,6,4,6,0,1.2,77.6,0.4,2,6.9
3,236546,Ruben Aguilar,29," D(R),M(R)",172,71,22(6),22,6,2138,0,2,4,0,0.4,84.9,1.2,1,6.84
4,244560,Aleksandr Golovin,26, M(CLR),180,69,17(10),17,10,1505,3,4,4,1,0.9,80.2,0.3,2,6.81
5,408033,Vanderson,21," D(R),M(R)",180,0,12(5),12,5,1122,2,1,3,0,0.8,73.3,0.8,1,6.79
6,92812,Kevin Volland,30," AM(CLR),FW",179,85,29(5),29,5,2450,9,9,10,0,1.5,67.9,0.9,1,6.79
7,365406,Benoît Badiashile,21, D(C),194,75,21(3),21,3,1837,1,0,4,0,0.6,87.9,2.4,1,6.77
8,296576,Gelson Martins,27, M(LR),173,72,24(8),24,8,1921,4,3,4,0,0.9,80.4,0.7,2,6.77
9,320313,Caio Henrique,25," D(L),M(CL)",178,68,31(3),31,3,2670,2,8,5,0,0.6,78.8,0.4,4,6.74
10,121417,Guillermo Maripán,28, D(C),193,84,21(5),21,5,1828,0,0,5,0,0.3,88.8,1.8,0,6.73
11,362470,Youssouf Fofana,23, DMC,176,0,23(10),23,10,2187,0,4,4,0,0.9,76.3,0.4,0,6.72
12,300426,Axel Disasi,24, D(C),190,86,30(2),30,2,2725,1,0,5,0,0.6,87.2,2.2,0,6.7
13,260770,Alexander Nübel,25, GK,193,86,38,38,0,3420,0,0,0,0,0.0,70.6,0.1,0,6.61
14,383864,Strahinja Pavlovic,21, D(C),194,86,5(2),5,2,450,0,0,2,1,0.7,83.4,2.6,1,6.53
15,355659,Jean Lucas,24, M(C),181,78,18(10),18,10,1451,1,1,1,1,0.9,82.8,0.5,0,6.52
16,349699,Ismail Jakobs,23," D(L),M(L)",183,75,10(18),10,18,1193,0,1,1,0,0.2,72.2,1.4,0,6.51
17,335692,Krépin Diatta,23," M(LR),FW",173,68,3(5),3,5,283,1,0,0,0,0.4,75.7,1.5,0,6.47
18,10454,Djibril Sidibé,30," D(CLR),M(R)",182,71,12(5),12,5,952,0,0,6,0,0.2,78.4,0.8,0,6.41
19,398373,Eliot Matazo,20, DMC,0,0,8(10),8,10,783,0,0,1,0,0.2,87.0,0.4,0,6.36
20,8040,Cesc Fàbregas,35," M(CL),FW",180,77,0(2),0,2,36,0,0,0,0,0.0,80.9,0.0,0,6.3
21,357081,Myron Boadu,21, FW,183,67,7(24),7,24,945,4,1,0,0,0.7,76.6,0.5,1,6.22
22,426647,Felix Lemarechal,19, Midfielder,0,0,0(1),0,1,8,0,0,0,0,0.0,75.0,0.0,0,6.2
23,398372,Chrislain Matsima,20, Defender,192,0,1(6),1,6,131,0,0,0,0,0.1,83.9,0.6,0,6.13
24,426648,Maghnes Akliouche,20, Midfielder,0,0,0(7),0,7,48,0,0,1,0,0.3,95.2,0.1,0,6.02
25,363535,Wilson Isidor,22, AM(L),184,0,0(4),0,4,47,0,0,0,0,0.3,47.1,1.0,0,6.0
26,431684,Tiago Ribeiro,20, Midfielder,185,68,0(1),0,1,1,0,0,0,0,0.0,100.0,0.0,0,5.91
