,Unnamed: 0,player_number,name,age,position,tall,weight,games,mins,goals,assists,yel,red,spg,ps,aw,motm,rating,start_games,sub_games
0,0,379790,Nuno Tavares,22," D(L),M(L)",183,75,6(2),627,3,0,3,0,2.3,83.1,0.9,1,7.49,6,2
1,1,231144,Valentin Rongier,27," D(R),M(C)",172,67,7,577,0,0,3,0,0.9,89.4,1.6,0,7.27,7,0
2,2,25244,Alexis Sánchez,33," M(CLR),FW",169,62,5(2),470,4,0,0,0,2.1,80.5,1.1,2,6.97,5,2
3,3,104368,Chancel Mbemba,28," D(CLR),DMC",182,81,8,676,1,0,0,0,0.6,83.5,2.1,1,6.97,8,0
4,4,301869,Jonathan Clauss,29," D(R),M(R)",178,69,8,657,0,2,0,0,1.5,73.9,0.3,1,6.92,8,0
5,5,243814,Eric Bailly,28, D(CR),187,77,1(2),167,0,0,1,0,0.3,83.5,2.7,0,6.86,1,2
6,6,145427,Pau López,27, GK,189,77,6,540,0,0,1,0,0,73.1,0.2,0,6.8,6,0
7,7,328983,Mattéo Guendouzi,23, M(C),185,68,7(1),606,1,2,1,0,0.8,83.9,0.8,0,6.78,7,1
8,8,120335,Rubén Blanco,27, GK,188,70,2,180,0,0,0,0,0,62.3,0,0,6.77,2,0
9,9,362788,Leonardo Balerdi,23, D(C),187,85,7(1),588,0,1,2,0,0,82.5,1.5,0,6.74,7,1
10,10,402887,Luis Suárez,24," AM(L),FW",185,74,1(4),173,2,0,1,0,2.2,68.5,1,0,6.72,1,4
11,11,255071,Cengiz Ünder,25, AM(CLR),173,66,4(3),323,0,1,0,0,1.3,73.6,0.6,0,6.71,4,3
12,12,101017,Jordan Veretout,29, M(C),177,67,4(4),459,0,1,1,0,0.4,85.7,0.6,0,6.64,4,4
13,13,14058,Dimitri Payet,35," M(CLR),FW",175,77,2(4),203,0,1,0,0,1.8,78.2,0,0,6.63,2,4
14,14,399047,Pape Gueye,23, DMC,189,79,2(3),205,1,0,1,0,1,85.6,0.6,0,6.62,2,3
15,15,399955,Issa Kaboré,21," D(R),M(R)",180,0,1(1),79,0,0,0,0,0.5,86.1,0,0,6.6,1,1
16,16,110260,Sead Kolasinac,29," D(CL),DMC,M(L)",183,85,4(3),368,0,1,0,0,0.1,82.9,0.3,0,6.57,4,3
17,17,322668,Amine Harit,25," AM(CLR),FW",180,67,2(1),149,0,0,1,0,0.3,88.5,0.3,0,6.56,2,1
18,18,234376,Samuel Gigot,28, D(C),187,83,5,369,1,0,2,1,0.6,86.1,2.6,0,6.51,5,0
19,19,104257,Arkadiusz Milik,28," AM(C),FW",186,80,2,131,0,0,1,0,0.5,75.7,1,0,6.49,2,0
20,20,86513,Cédric Bakambu,31," AM(LR),FW",182,73,0(3),56,0,1,0,0,0,81.8,1.3,0,6.41,0,3
21,21,242791,Gerson,25, M(CLR),184,78,4(2),278,1,0,1,0,1,78.9,0.8,0,6.41,4,2
22,22,251134,Duje Caleta-Car,26, D(C),192,89,0(1),7,0,0,0,0,0,100.0,1,0,6.14,0,1
23,23,444816,Souleymane Isaak Touré,19, Defender,206,75,0(2),24,0,0,1,0,0,71.4,0.5,0,6.01,0,2
